写景,山水,黄河,励志,哲理 白日依山尽，黄河入海流。欲穷千里目，更上一层楼。
思乡 朔方三度重阳节，河曲干旌岁岁忙。鬓发已甘尘路白，菊花犹送塞垣黄。中丞疏有回天力，太宰功兼蹜地方。云外好呼南去雁，系书先为报江乡。
写景 吟怀未许老重阳，霜雪无端入鬓长。几度白衣虚令节，致疑黄菊是孤芳。野心一片湖云外，灏气三秋海日旁。山阁若逢阎伯屿，方君诗思敌王郎。
写雨,写景 春风吹雨绕残枝，落花无可飞。小池寒绿欲生漪，雨晴还日西。帘半卷，燕双归。讳愁无奈眉。翻身整顿着残棋，沉吟应劫迟。
婉约,写景 晚日金陵岸草平，落霞明，水无情。六代繁华，暗逐逝波声。空有姑苏台上月，如西子镜照江城。
婉约 年年社日停针线。怎忍见、双飞燕。今日江城春已半。一身犹在，乱山深处，寂寞溪桥畔。春衫著破谁针线。点点行行泪痕满。落日解鞍芳草岸。花无人戴，酒无人劝，醉也无人管。
思念 琼楼玉宇。分明不受人间暑。寻常岂是无三五。惟有今宵，皓彩皆同普。素娥阅尽今和古。何妨小驻听吾语。当年弄影婆娑舞。妙曲虽传，毕竟人何许。
写人 苍颜华发，故山归计何时决！旧交新贵音书绝，惟有佳人，犹作殷勤别。离亭欲去歌声咽，潇潇细雨凉吹颊。泪珠不用罗巾浥，弹在罗衫，图得见时说。
婉约,写景,思乡 山一程，水一程，身向榆关那畔行，夜深千帐灯。风一更，雪一更，聒碎乡心梦不成，故园无此声。
秋天,写山 一重山，两重山。山远天高烟水寒，相思枫叶丹。菊花开，菊花残。塞雁高飞人未还，一帘风月闲。
秋天 水悠悠，路悠悠，隐隐遥山天尽头，关河又阻修。古兴州，古灵州，白草黄云都是愁，劝君休倚楼。
秋天 去年秋，今年秋，湖上人家乐复忧。西湖依旧流。吴循州，贾循州，十五年前一转头。人生放下休。
写人 渔父醒，春江午，梦断落花飞絮。酒醒还醉醉还醒，一笑人间今古。
婉约,写景 柳暗花明春事深。小阑红芍药，已抽簪。雨馀风软碎鸣禽。迟迟日，犹带一分阴。往事莫沉吟。身闲时序好，且登临。旧游无处不堪寻。无寻处，惟有少年心。
婉约,写景,抒情 几点疏雅誊柳条。江南烟草绿，梦迢迢。十年旧约断琼箫。西楼下，何处玉骢骄？酒醒又今宵。画屏残月上，篆香销。凭将心事记回潮。青溪水，流得到红桥。
写景,抒情 绿涨连云翠拂空。十分风月处，著衰翁。垂杨影断岸西东。君恩重，教且种芙蓉。十里水晶宫。有时骑马去，笑儿童。殷勤却谢打头风。船儿住，且醉浪花中。
写景,思念 晓月坠，宿云微，无语枕频欹。梦回芳草思依依，天远雁声稀。啼莺散，馀花乱，寂寞画堂深院。片红休埽尽从伊，留待舞人归。
婉约,写景,闺怨 鸠雨细，燕风斜。春悄谢娘家。一重帘外即天涯。何必暮云遮。钏金寒，钗玉冷。薄醉欲成还醒。一春梳洗不簪花。孤负几韶华。
写水 清明上巳西湖好，满目繁华。争道谁家。绿柳朱轮走钿车。游人日暮相将去，醒醉喧哗。路转堤斜。直到城头总是花。
春天,写景,抒情 画船载酒西湖好，急管繁弦，玉盏催传，稳泛平波任醉眠。行云却在行舟下，空水澄鲜，俯仰留连，疑是湖中别有天。
婉约 年年才到花时候，风雨成旬。不肯开晴，误却寻花陌上人。今朝报道天晴也，花已成尘。寄语花神，何似当初莫做春。
抒情 十年尘土湖州梦，依旧相逢。眼约心同，空有灵犀一点通。寻春自恨来何暮，春事成空。懊恼东风，绿尽疏阴落尽红。
抒情 笙歌放散人归去，独宿红楼。月上云收，一半珠帘挂玉钩。起来点检经由地，处处新愁，凭仗东流，将取离心过橘洲。
边塞,抒情 严霜拥絮频惊起，扑面霜空。斜汉朦胧。冷逼毡帷火不红。香篝翠被浑闲事，回首西风。何处疏钟，一穗灯花似梦中。
抒情,思念 暖日闲窗映碧纱，小池春水浸晴霞。数树海棠红欲尽，争忍，玉闺深掩过年华。独凭绣床方寸乱，肠断，泪珠穿破脸边花。邻舍女郎相借问，音信，教人休道未还家。
豪放,思念 箫声咽，秦娥梦断秦楼月。秦楼月，年年柳色，灞陵伤别。乐游原上清秋节，咸阳古道音尘绝。音尘绝，西风残照，汉家陵阙。
爱情 花深深。一钩罗袜行花阴。行花阴。闲将柳带，细结同心。日边消息空沈沈。画眉楼上愁登临。愁登临。海棠开后，望到如今。
秋天,写景 长安古道马迟迟，高柳乱蝉嘶。夕阳岛外，秋风原上，目断四天垂。归云一去无踪迹，何处是前期？狎兴生疏，酒徒萧索，不似少年时。
春天,咏物,抒情 栏干十二独凭春，晴碧远连云。千里万里，二月三月，行色苦愁人。谢家池上，江淹浦畔，吟魄与离魂。那堪疏雨滴黄昏。更特地、忆王孙。
写景,抒情 楼上黄昏杏花寒。斜月小栏干。一双燕子，两行征雁，画角声残。绮窗人在东风里，洒泪对春间。也应似旧，盈盈秋水，淡淡春山。
写水 寒江夜宿。长啸江之曲。水底鱼龙惊动，风卷地、浪翻屋。诗情吟未足。酒兴断还续。草草兴亡休问，功名泪、欲盈掬。
秋天 对秋深，离恨苦，数夜满庭风雨。凝想坐，敛愁眉，孤心似有违。红窗静，画帘垂，魂消地角天涯。和泪听，断肠窥，漏移灯暗时。
秋天,思乡 墨痕香，红蜡泪。点点愁人离思。桐叶落，蓼花残。雁声天外寒。五云岭，九溪坞。待到秋来更苦。风淅淅，水淙淙。不教蓬径通。
春天,写景 雪藏梅，烟著柳。依约上春时候。初送雁，欲闻莺。绿池波浪生。探花开，留客醉。忆得去年情味。金盏酒，玉炉香。任他红日长。
写人 碧山影里小红旗。侬是江南踏浪儿。拍手欲嘲山简醉，齐声争唱浪婆词。西兴渡口帆初落，渔浦山头日未欹。侬欲送潮歌底曲？尊前还唱使君诗。
婉约 玉楼深锁薄情种，清夜悠悠谁共？羞见枕衾鸳凤，闷则和衣拥。无端画角严城动，惊破一番新梦。窗外月华霜重，听彻《梅花弄》。
春天 花映柳条，闲向绿萍池上。凭阑干，窥细浪，雨萧萧。近来音信两疏索，洞房空寂寞。掩银屏，垂翠箔，度春宵。
闺怨 黛薄红深，约掠绿鬟云腻。小鸳鸯，金翡翠，称人心。锦鳞无处传幽意，海燕兰堂春又去，隔年书，千点泪，恨难任。
写人,抒情,思乡 楚女不归，楼枕小河春水。月孤明，风又起，杏花稀。玉钗斜篸云鬟重，裙上金缕凤。八行书，千里梦，雁南飞。
春天,离别,抒情 芳草长川，柳映危桥桥下路。归鸿飞，行人去，碧山边。风微烟淡雨萧然，隔岸马嘶何处？九回肠，双脸泪，夕阳天。
婉约 昨夜佳期初共。鬓云低、翠翘金凤。尊前和笑不成歌，意偷转、眼波微送。草草不容成楚梦。渐寒深、翠帘霜重。相看送到断肠时，月西斜、画楼钟动。
写花,写人 走马探花花发未。人与化工俱不易。千回来绕百回看，蜂作婢，莺为使。谷雨清明空屈指。白发卢郎情未已。一夜翦刀收玉蕊。尊前还对断肠红。人有泪，花无意。明日酒醒应满地。
婉约,离别 短长亭子短长桥，桥外垂杨一万条。那回临别两魂销，恨迢迢，双桨春风打暮潮。
秋天,抒情 秋风入窗里，罗帐起飘扬。仰头看明月，寄情千里光。
婉约,春天,写景 漠漠春阴酒半酣。风透春衫，雨透春衫。人家蚕事欲眠三。桑满筐篮，柘满筐篮。先自离怀百不堪。樯燕呢喃，梁燕呢喃。篝灯强把锦书看。人在江南，心在江南。
婉约,写景,思念 无言独上西楼，月如钩。寂寞梧桐深院锁清秋。剪不断，理还乱，是离愁。别是一般滋味在心头。
婉约 秋风吹到江村，正黄昏，寂寞梧桐夜雨不开门。一叶落，数声角，断羁魂，明日试看衣袂有啼痕。
婉约,写人 小鬟衫着轻罗，发如螺，睡起钗偏髻倒唤娘梳。心上事，春前景，闷中过，打叠闲情别绪教鹦哥。
写人 风飐，波敛，团荷闪闪，珠倾露点。木兰舟上，何处吴娃越艳：藕花红照脸。大堤狂杀襄阳客，烟波隔，渺渺湖光白。身已归，心不归，斜晖，远汀鸂鶒飞。
离别,抒情,思念 棹举，舟去，波光渺渺，不知何处？岸花汀草共依依，雨微，鹧鸪相逐飞。天涯离恨江声咽，啼猿切，此意向谁说？倚兰桡，独无聊，魂消，小炉香欲焦。
写人 淡花瘦玉，依约神仙妆柬，佩琼文。瑞露通宵贮，幽香尽日焚。碧纱笼绦节，黄藕冠浓云。勿以吹箫伴，不同群。
写景 东风又送酴釄信，早吹得、愁成潘鬓。花开犹似十年前，人不似、十年前俊。水边珠翠香成阵。也消得、燕窥莺认。归来沈醉月朦胧，觉花气、满襟犹润。
抒情 频日雅欢幽会，打得来来越杀。说着暂分飞，蹙损一双眉黛。无奈，无奈，两个心儿总待。
婉约,送别 故人送我出阳关，无计锁雕鞍。今古别离难。兀谁画娥眉远山。一尊别酒，一声杜宇，寂寞又春残。明月小楼间，第一夜相思泪弹。
婉约,写景 手卷真珠上玉钩，依前春恨锁重楼。风里落花谁是主？思悠悠。青鸟不传云外信，丁香空结雨中愁。回首绿波三楚暮，接天流。
咏史怀古 伤心莫问前朝事，重上越王台。鹧鸪啼处，东风草绿，残照花开。怅然孤啸，青山故国，乔木苍苔。当时明月，依依素影，何处飞来？
地名 林深藏却云门寺，回首若耶溪。苎萝人去，蓬莱山在，老树荒碑。神仙何处，烧丹傍井，试墨临池。荷花十里，清风鉴水，明月天衣。
婉约 小桃枝上春风早，初试薄罗衣。年年乐事，华灯竞处，人月圆时。禁街箫鼓，寒轻夜永，纤手重携。更阑人散，千门笑语，声在帘帏。
抒情 冷云冻雪褒斜路，泥滑似登天。年来又到，吴头楚尾，风雨江船。但教康健，心头过得，莫论无钱。从今只望，儿婚女嫁，鸡犬山田。
春天,抒情,思念 萋萋芳草春云乱，愁在夕阳中。短亭别酒，平湖画舫，垂柳骄骢。一声啼鸟，一番夜雨，一阵东风。桃花吹尽，佳人何在，门掩残红。
写景,写人 西塞山前白鹭飞，桃花流水鳜鱼肥。青箬笠，绿蓑衣，斜风细雨不须归。
写景 六曲阑干偎碧树，杨柳风轻，展尽黄金缕。谁把钿筝移玉柱，穿帘海燕双飞去。满眼游丝兼落絮，红杏开时，一霎清明雨。浓睡觉来莺乱语，惊残好梦无寻处。
写人,写鸟 叵耐灵鹊多谩语，送喜何曾有凭据？几度飞来活捉取，锁上金笼休共语。比拟好心来送喜，谁知锁我在金笼里。欲他征夫早归来，腾身却放我向青云里。
婉约,咏物 斑竹枝，斑竹枝，泪痕点点寄相思。楚客欲听瑶瑟怨，潇湘深夜月明时。
春天,写景 十里寒塘路，烟花一半醒。晨钟催落月，宿火乱稀星。欹枕看湖白，开窗喜屿青。笙歌方一歇，莺啭柳洲亭。
忧国忧民 堂堂大元，奸佞专权。开河变钞祸根源，惹红巾万千。官法滥，刑法重，黎民怨。人吃人，钞买钞，何曾见。贼做官，官做贼，混贤愚。哀哉可怜！
写人,抒情 夺泥燕口，削铁针头，刮金佛面细搜求：无中觅有。鹌鹑嗉里寻豌豆，鹭鸶腿上劈精肉，蚊子腹内刳脂油。亏老先生下手！
闺怨 泥金小简，白玉连环，牵情惹恨两三番。好光阴等闲。景阑珊绣帘风软杨花散，泪阑干绿窗雨洒梨花绽，锦斓斑香闺春老杏花残。奈薄情未还。
咏物,梅花 故人溪上，挂愁无奈，烟梢月树。一涓春水点黄昏，便没顿、相思处。曾把芳心深相许。故梦劳诗苦。闻说东风亦多情，被竹外、香留住。
婉约,写景,抒情 清润风光雨后天。蔷薇花谢绿窗前。碧琉璃瓦欲生烟。十里闲情凭蝶梦，一春幽怨付鲲弦。小楼今夜月重圆。
婉约,写人 萱草栏干，榴花庭院。悄无人语重帘卷。屏山掩梦不多时，斜风雨细江南岸。昼漏初传，林莺百啭。日长暗记残香篆。洞房消息有谁知，几回欲问梁间燕。
儿童 朝牧牛，牧牛下江曲。夜牧牛，牧牛度村谷。荷蓑出林春雨细，芦管卧吹莎草绿。乱插蓬蒿箭满腰，不怕猛虎欺黄犊。
抒情 终日昏昏醉梦间，忽闻春尽强登山。因过竹院逢僧话，偷得浮生半日闲。
写景,抒情 江城吹角水茫茫，曲引边声怨思长。惊起暮天沙上雁，海门斜去两三行。
哲理 杨朱之弟曰布，衣素衣而出。天雨，解素衣，衣缁衣而返。其狗不知，迎而吠之。杨布怒，将扑之。杨朱曰：“子无扑矣，子亦犹是也。向者使汝狗白而往黑而来，岂能无怪哉？”
春天 子规啼，不如归，道是春归人未归。几日添憔悴，虚飘飘柳絮飞。一春鱼雁无消息，则见双燕斗衔泥。
冬天,写景 雪粉华，舞梨花，再不见烟村四五家。密洒堪图画，看疏林噪晚鸦。黄芦掩映清江下，斜缆着钓鱼艖。
离别 自送别，心难舍，一点相思几时绝？凭阑袖拂杨花雪。溪又斜，山又遮，人去也！
冬天 雪纷纷，掩重门，不由人不断魂，瘦损江梅韵。那里是清江江上村，香闺里冷落谁瞅问？好一个憔悴的凭栏人。
夏天 俏冤家，在天涯，偏那里绿杨堪系马。困坐南窗下，数对清风想念他。蛾眉淡了教谁画？瘦岩岩羞戴石榴花。
秋天,写景,写山 秋入云山，物情潇洒。百般景物堪图画。丹枫万叶碧云边，黄花千点幽岩下。已喜佳辰，更怜清夜。一轮明月林梢挂。松醪常与野人期，忘形共说清闲话。
写景 逐舞飘轻袖，传歌共绕梁。动枝生乱影，吹花送远香。
咏物 繁弦奏渌水，长袖转回鸾。一双俱应节，还似镜中看。
咏物,抒情 的历流光小，飘飖弱翅轻。恐畏无人识，独自暗中明。
咏物,思乡,爱国 一自胡尘入汉关，十年伊洛路漫漫。青墩溪畔龙钟客，独立东风看牡丹。
咏物 二月巴陵日日风，春寒未了怯园公。海棠不惜胭脂色，独立蒙蒙细雨中。
写雨,抒情 天缺西南江面清，纤云不动小滩横。墙头语鹊衣犹湿，楼外残雷气未平。尽取微凉供稳睡，急搜奇句报新晴。今宵绝胜无人共，卧看星河尽意明。
离别 门外子规啼未休，山村落日梦悠悠。故园便是无兵马，犹有归时一段愁。
抒情 露侵驼褐晓寒轻，星斗阑干分外明。寂寞小桥和梦过，稻田深处草虫鸣。
春天 卷地风抛市井声，病无危坐了清明。一帘晚日看收尽，杨柳微风百媚生。
春天,思念 今年二月冻初融，睡起苕溪绿向东。客子光阴诗卷里，杏花消息雨声中。西庵禅伯还多病，北栅儒先只固穷。忽忆轻舟寻二子，纶巾鹤氅试春风。
爱国 高咏楚词酬午日，天涯节序匆匆。榴花不似舞裙红。无人知此意，歌罢满帘风。万事一身伤老矣，戎葵凝笑墙东。酒杯深浅去年同。试浇桥下水，今夕到湘中。
春天 街头女儿双髻鸦，随蜂趁蝶学夭邪。东风也作清明节，开遍来禽一树花。
豪放 忆昔午桥桥上饮，坐中多是豪英。长沟流月去无声。杏花疏影里，吹笛到天明。二十余年如一梦，此身虽在堪惊。闲登小阁看新晴。古今多少事，渔唱起三更。
抒情 张帆欲去仍搔首，更醉君家酒。吟诗日日待春风，及至桃花开后却匆匆。歌声频为行人咽，记著樽前雪。明朝酒醒大江流，满载一船离恨向衡州。
忧国忧民 手推呕哑车，朝朝暮暮耕。未曾分得谷，空得老农名。
冬天,写花 明朝游上苑，火速报春知。花须连夜发，莫待晓风吹。
山水,写景,思乡 山窗游玉女，涧户对琼峰。岩顶翔双凤，潭心倒九龙。酒中浮竹叶，杯上写芙蓉。故验家山赏，惟有风入松。
写山,写水 九春开上节，千门敞夜扉。兰灯吐新焰，桂魄朗圆辉。送酒惟须满，流杯不用稀。务使霞浆兴，方乘泛洛归。
写人 敷政术，守清勤。升显位，励相臣。
写鸟 鸿鹄高飞，一举千里。羽翮已就，横绝四海。横绝四海，当可奈何？虽有矰缴，尚安所施？
春天,月亮,田园 更深月色半人家，北斗阑干南斗斜。今夜偏知春气暖，虫声新透绿窗纱。
春天,闺怨 朝日残莺伴妾啼，开帘只见草萋萋。庭前时有东风入，杨柳千条尽向西。
写景,抒情 去年今日此门中，人面桃花相映红。人面不知何处去，桃花依旧笑春风。
咏物,柳树 结根挺涯涘，垂影覆清浅。睡脸寒未开，懒腰晴更软。摇空条已重，拂水带方展。似醉烟景凝，如愁月露泫。丝长鱼误恐，枝弱禽惊践。长别几多情，含春任攀搴。
婉约,写鸟 柳阴庭院占风光，呢喃清昼长。碧波新涨小池塘，双双蹴水忙。萍散漫，絮飘飏，轻盈体态狂。为怜流去落红香，衔将归画梁。
婉约,送别 吴山青，越山青，两岸青山相送迎，争忍有离情？君泪盈，妾泪盈，罗带同心结未成，江边潮已平。
送别 汉家五尺道，置吏抚南夷。欲使文翁教，兼令孟获知。盘馐蒟酱实，歌杂竹枝辞。取酒须勤醉，乡关不可思。
送别,友情 几砚昔年游，于今成十秋。松坚终发石，鱼变即辞流。近郡无飞檄，清时不借筹。淇园春竹美，军宴日椎牛。
夏天,写景,咏物,写花 四月清和雨乍晴，南山当户转分明。更无柳絮因风起，惟有葵花向日倾。
婉约,思念 宝髻松松挽就，铅华淡淡妆成。青烟翠雾罩轻盈，飞絮游丝无定。相见争如不见，有情何似无情。笙歌散后酒初醒，深院月斜人静。
思念 陇头梅半吐。江南岁将暮。闲窗尽日将愁度。黄昏愁更苦。归期望断，双鱼尺素。念嘶骑、今到何处。残灯背壁三更鼓。斜风吹细雨。
春天,写景,抒情 洛城春晚。垂杨乱掩红楼半。小池轻浪纹如篆。烛下花前，曾醉离歌宴。自惜风流云雨散。关山有限情无限。待君重见寻芳伴。为说相思、目断西楼燕。
爱国 人生愁恨何能免，销魂独我情何限！故国梦重归，觉来双泪垂。高楼谁与上？长记秋晴望。往事已成空，还如一梦中。
思念 夜长不得眠，明月何灼灼。想闻散唤声，虚应空中诺。
婉约,写人 门外猧儿吠，知是萧郎至。刬袜下香阶，冤家今夜醉。扶得入罗帏，不肯脱罗衣。醉则从他醉，还胜独睡时。
咏史怀古 云山有意，轩裳无计，被西风吹断功名泪。去来兮，再休提！青山尽解招人醉，得失到头皆物理。得，他命里；失，咱命里。
写景,抒情 微风不定，幽香成径，红云十里波千顷。绮罗馨，管弦清，兰舟直入空明镜。碧天夜凉秋月冷。天，湖外影；湖，天上景。
抒情 愁眉紧皱，仙方可救，刘伶对面亲传授。满怀忧，一时愁，锦封未拆香先透，物换不如人世有。朝，也媚酒；昏，也媚酒。
咏物,写花 玉环梦断风流事，银烛歌成富贵词。东风一树玉胭脂，双燕子。曾见正开时。
婉约,写景 千万恨，恨极在天涯。山月不知心里事，水风空落眼前花，摇曳碧云斜。
春天 玉砌花光锦绣明，朱扉长日镇长扃。夜寒不去寝难成，炉香烟冷自亭亭。残月秣陵砧，不传消息但传情。黄金窗下忽然惊，征人归日二毛生。
思念 江头日暮痛饮。乍雪晴犹凛。山驿凄凉，灯昏人独寝。鸳机新寄断锦。叹往事、不堪重省。梦破南楼，绿云堆一枕。
写景,思乡 对青山强整乌纱。归雁横秋，倦客思家。翠袖殷勤，金杯错落，玉手琵琶。人老去西风白发，蝶愁来明日黄花。回首天涯，一抹斜阳，数点寒鸦。
写景,抒情 长江浩浩西来，水面云山，山上楼台。山水相连，楼台相对，天与安排。诗句成云山动色，酒杯倾天地忘怀。醉眼睁开，遥望蓬莱，一半儿云遮，一半儿烟霾。
写人 罗浮梦里真仙，双锁螺鬟，九晕珠钿。晴柳纤柔，春葱细腻，秋藕匀圆。酒盏儿里央及出些腼腆，画帧儿上唤下来的婵娟。试问尊前，月落参横，今夕何年？
抒情 怎生来宽掩了裙儿？为玉削肌肤，香褪腰肢。饭不沾匙，昨如翻饼，气若游丝。得受用遮莫害死，果诚实有甚推辞？干闹了多时，本是结发的欢娱，倒做了彻骨儿相思。
写景 半天风雨如秋。怪石於菟，老树钩娄，苔绣禅阶，尘黏诗壁，云湿经楼。琴调冷声闲虎丘，剑光寒影动龙湫。醉眼悠悠，千古恩仇。浪卷胥魂，山锁吴愁。
写景,思念 碧湖湖上柳阴阴，人影澄波浸，常记年时欢花饮。到如今，西风吹断回文锦。羡他一对，鸳鸯飞去，残梦蓼花深。
闺怨,离别 玉箫声断凤凰楼，憔悴人别后。留得啼痕满罗袖。去来休，楼前风景浑依旧。当初只恨，无情烟柳，不解系行舟。
秋天,写景 庭前落尽梧桐，水边开彻芙蓉。解与诗人意同。辞柯霜叶，飞来就我题红。
春天,写景 林下春晴风渐和，高崖残雪已无多。游丝冉冉花枝静，青壁迢迢白鸟过。忽向山中怀旧侣，几从洞口梦烟萝。客衣尘土终须换，好与湖边长芰荷。
婉约 烟霏霏，雪霏霏。雪向梅花枝上堆，春从何处回！醉眼开，睡眼开，疏影横斜安在哉？从教塞管催。
咏物,抒情 汾水碧依依，黄云落叶初飞。翠娥一去不言归，庙门空掩斜晖。四壁阴森排古画，依旧琼轮羽驾。小殿沈沈清夜，银灯飘落香灺。
离别 孤庙对寒潮，西陵风雨萧萧。谢娘惆怅倚兰桡，泪流玉箸千条。暮天愁听思归乐，早梅香满山郭。回首两情萧索，离魂何处飘泊？
婉约 情深意真。眉长鬓青。小楼明月调筝。写春风数声。思君忆君。魂牵梦萦。翠销香暖云屏。更那堪酒醒。
写景,山水 清溪一叶舟，芙蓉两岸秋。采菱谁家女，歌声起暮鸥。乱云愁，满头风雨，戴荷叶归去休。
婉约,写景 休相问，怕相问，相问还添恨。春水满塘生，鸂鶒还相趁。昨夜雨霏霏，临明寒一阵。偏忆戍楼人，久绝边庭信。
写景 桃蹊柳陌好经过，灯下妆成月下歌。为是襄王故宫地，至今犹自细腰多。
写人 新词宛转递相传，振袖倾鬟风露前。月落乌啼云雨散，游童陌上拾花钿。
写人 锦织江边翠竹，绒穿海上明珠。月淡时风清处，都隔断落红尘土。一片闲云任卷舒，挂尽朝云暮雨。
写人,抒情 黄芦岸白蘋渡口，绿柳堤红蓼滩头。虽无刎颈交，却有忘机友，点秋江白鹭沙鸥。傲杀人间万户侯，不识字烟波钓叟。
田园,抒情 恰离了绿水青山那答，早来到竹篱茅舍人家。野花路畔开，村酒槽头榨。直吃的欠欠答答。醉了山童不劝咱，白发上黄花乱插。
写人,抒情 香玉，翠凤宝钗垂簏簌，钿筐交胜金粟，越罗春水绿。画堂照帘残烛，梦馀更漏促。谢娘无限心曲，晓屏山断续。
写景,悼亡 去年相逢深院宇，海棠下、曾歌《金缕》。歌罢花如雨。翠罗衫上，点点红无数。今岁重寻携手处，空物是人非春暮。回首青门路。乱红飞絮，相逐东风去。
咏物 喇叭，唢呐，曲儿小腔儿大。官船来往乱如麻，全仗你抬声价。军听了军愁，民听了民怕。哪里去辨甚么真共假？眼见的吹翻了这家，吹伤了那家，只吹的水尽鹅飞罢！
写人,抒情 暖烘，醉客，逼匝的芳心动。雏莺声在小帘栊，唤醒花前梦。指甲纤柔，眉儿轻纵，和相思曲未终。玉葱，翠峰，骄怯琵琶重。
离别 浙江秋，吴山夜。愁随潮去，恨与山叠。寒雁来，芙蓉谢。冷雨青灯读书舍，怕离别又早离别。今宵醉也，明朝去也，宁奈些些。
秋天,写景,田园 翠荷残，苍梧坠。千山应瘦，万木皆稀，蜗角名，蝇头利。输与渊明陶陶醉，尽黄菊围绕东篱。良田数顷，黄牛二只，归去来兮。
写景 柳丝柔，莎茵细。数枝红杏，闹出墙围。院宇深，秋千系。好雨初晴东郊媚。看儿孙月下扶犁。黄尘意外，青山眼里，归去来兮。
婉约,秋天,写景,爱情 船动湖光滟滟秋，贪看年少信船流。无端隔水抛莲子，遥被人知半日羞。
春天 春辞我，向何处？怪草草、夜来风雨。一簪华发，少欢饶恨，无计殢春且住。春回常恨寻无路，试向我、小园徐步。一栏红药，倚风含露。春自未曾归去。
写人,抒情 双脸，小凤战蓖金飐艳。舞衣无力风敛，藕丝秋色染。锦帐绣帷斜掩，露珠清晓簟，粉心黄蕊花靥，黛眉山两点。
送别,抒情 离棹逡巡欲动，临极浦，故人相送，去住心情知不共。金船满捧，绮罗愁，丝管咽。回别，帆影灭，江浪如雪。
写人 秋风远塞皂雕旗，明月高台金凤杯。红妆肯为苍生计，女妖娆能有几？两蛾眉千古光辉：汉和番昭君去，越吞吴西子归。战马空肥。
闺怨 灯花占信又无功，鹊报佳音耳过风。绣衾温暖和谁共？隔云山千万重，因此上惨绿愁红。不付能博得个团圆梦，觉来时又扑个空。杜鹃声啼过墙东。
写雪,写花,梅花,抒情 雪晴天地一冰壶，竟往西湖探老逋，骑驴踏雪溪桥路。笑王维作画图，拣梅花多处提壶。对酒看花笑，无钱当剑沽，醉倒在西湖！
抒情 闹排场经过乐回闲，勤政堂辞别撒会懒，急喉咙倒换学些慢。掇梯儿休上竿，梦魂中识破邯郸。昨日强如今日，这番险似那番。君不见倦鸟知还！
婉约,咏物,梅花,写人 人绕湘皋月坠时。斜横花树小，浸愁漪。一春幽事有谁知？东风冷，香远茜裙归。鸥去昔游非。遥怜花可可，梦依依。九疑云杳断魂啼。相思血，都沁绿筠枝。
边塞,战争 秋风紧，平碛雁行低，阵云齐。萧萧飒飒，边声四起，愁闻戍角与征鼙。青冢北，黑山西。沙飞聚散无定，往往路人迷。铁衣冷，战马血沾蹄，破蕃奚。凤皇诏下，步步蹑丹梯。
送别,抒情 月破轻云天淡注，夜悄花无语。莫听《阳关》牵离绪。拚酩酊花深处。明日江郊芳草路，春逐行人去。不似酴醾开独步，能着意留春住。
婉约 寒梦。寒梦。梦被诗魔调弄。醒来吟落灯花，灯暗纸窗月斜。月斜。月斜。巷口柝声敲歇。
秋天,写景,山水 午枕梦初残，高楼上，独凭阑干。清商应律金风至，砧声断续，笳音幽怨，雁阵惊寒。景物不堪看，凝眸处愁有千般。秋光谈薄人情似，迢迢野水，茫茫衰草，隐隐青山。
爱情 家在钱塘江上住。花落花开，不管年华度。燕子又将春色去。纱窗一阵黄昏雨。斜插犀梳云半吐。檀板清歌，唱彻黄金缕。望断云行无去处。梦回明月生春浦。
离别,抒情 山无数，烟万缕。憔悴煞玉堂人物。倚篷窗一身儿活受苦，恨不得随大江东去。
抒情,思念 楼台小，风味佳，动新愁雨初风乍。知不知对春思念他，倚栏杆海棠花下？
婉约 烛影摇红，向夜阑，乍酒醒、心情懒。尊前谁为唱《阳关》，离恨天涯远。无奈云沉雨散。凭阑干、东风泪眼。海棠开后，燕子来时，黄昏庭院。
写景 花木相思树，禽鸟折枝图。水底双双比目鱼，岸上鸳鸯户，一步步金厢翠铺。世间好处，休没寻思，典卖了西湖。
写山,写景 冷云间，夕阳楼外数峰闲。等闲不许俗人看，雨髻烟鬟。倚西风十二阑，休长叹。不多时暮霭风吹散，西山看我，我看西山。
写景 碧云深，碧云深处路难寻。数椽茅屋和云赁，云在松阴。挂云和八尺琴瑟，卧苔石将云根枕，折梅蕊把云梢沁。云心无我，云我无心。
离别 十年曾一别，征路此相逢。马首向何处？夕阳千万峰。
月亮 嬴女乘鸾已上天，仁祠空在鼎湖边。凉风遥夜清秋半，一望金波照粉田。
秋天,离别,写景 萧萧江上荻花秋，做弄许多愁。半竿落日，两行新雁，一叶扁舟。惜分长怕君先去，直待醉时休。今宵眼底，明朝心上，后日眉头。
写景,抒情 遥遥去巫峡，望望下章台。巴国山川尽，荆门烟雾开。城分苍野外，树断白云隈。今日狂歌客，谁知入楚来。
咏物,写花 身在千山顶上头，突岩深缝妙香稠。非无脚下浮云闹，来不相知去不留。
写山 渭川千亩入秦关，淇澳青青水一湾。两地高风来拱向，中间突兀太行山。
抒情 客心争日月，来往预期程。秋风不相待，先至洛阳城。
写景,抒情 雨湿清明香火残。碧溪桥外燕泥寒。日长独自倚阑干。脱箨修篁初散绿，褪花新杏未成酸。江南春好与谁看。
春天,写景 春山暖日和风，阑干楼阁帘栊，杨柳秋千院中。啼莺舞燕，小桥流水飞红。
婉约 桃源仙子不须夸，闻道惟裁一片花。何似浣纱溪畔住，绿阴相间两三家。
